Date,Year,Quarter,Month,Day,Weekend,Casual,Member,Total Rides,"Avg. ""Feels like"" (°C)",Avg. Temperature (°C),WMO Code,Weather,Max Wind (km/h)
2021-01-01,2021,2021Q1,January,Friday,Weekday,371,590,961,-0.9,2.3,63,Rain,10.6
2021-01-02,2021,2021Q1,January,Saturday,Weekend,2874,2844,5718,4.8,7.6,61,Light Rain,19.1
2021-01-03,2021,2021Q1,January,Sunday,Weekend,495,1133,1628,0.9,3.9,63,Rain,13.0
2021-01-04,2021,2021Q1,January,Monday,Weekday,907,2074,2981,1.0,4.1,3,Cloudy,13.3
2021-01-05,2021,2021Q1,January,Tuesday,Weekday,1057,2004,3061,1.4,4.0,51,Light Drizzle,9.2
2021-01-06,2021,2021Q1,January,Wednesday,Weekday,1359,1753,3112,-1.1,3.4,3,Cloudy,20.8
2021-01-07,2021,2021Q1,January,Thursday,Weekday,1167,2143,3310,-1.3,2.9,3,Cloudy,14.4
2021-01-08,2021,2021Q1,January,Friday,Weekday,784,2203,2987,-3.1,0.7,3,Cloudy,12.9
2021-01-09,2021,2021Q1,January,Saturday,Weekend,1490,2582,4072,-3.8,1.7,2,Partly Cloudy,19.4
2021-01-10,2021,2021Q1,January,Sunday,Weekend,1479,2522,4001,-1.8,2.6,1,Mostly Clear,18.7
2021-01-11,2021,2021Q1,January,Monday,Weekday,677,2194,2871,-1.8,1.5,3,Cloudy,9.8
2021-01-12,2021,2021Q1,January,Tuesday,Weekday,919,2725,3644,-2.2,1.3,0,Clear,10.2
2021-01-13,2021,2021Q1,January,Wednesday,Weekday,1095,2788,3883,-1.3,2.1,0,Clear,9.7
2021-01-14,2021,2021Q1,January,Thursday,Weekday,1095,2702,3797,0.3,3.5,2,Partly Cloudy,9.2
2021-01-15,2021,2021Q1,January,Friday,Weekday,924,2410,3334,1.0,4.4,53,Heavy Drizzle,18.9
2021-01-16,2021,2021Q1,January,Saturday,Weekend,1850,2841,4691,0.6,4.3,53,Heavy Drizzle,16.2
2021-01-17,2021,2021Q1,January,Sunday,Weekend,1437,2308,3745,-1.0,3.4,3,Cloudy,19.6
2021-01-18,2021,2021Q1,January,Monday,Weekday,1229,2212,3441,-1.9,2.6,2,Partly Cloudy,20.8
2021-01-19,2021,2021Q1,January,Tuesday,Weekday,1185,2185,3370,-2.1,2.3,3,Cloudy,20.5
2021-01-20,2021,2021Q1,January,Wednesday,Weekday,995,1627,2622,-3.3,1.4,53,Heavy Drizzle,24.7
2021-01-21,2021,2021Q1,January,Thursday,Weekday,1106,2423,3529,-1.7,2.3,1,Mostly Clear,12.3
2021-01-22,2021,2021Q1,January,Friday,Weekday,1302,2734,4036,-1.6,2.8,3,Cloudy,20.4
2021-01-23,2021,2021Q1,January,Saturday,Weekend,1145,2337,3482,-5.9,-0.3,3,Cloudy,23.6
2021-01-24,2021,2021Q1,January,Sunday,Weekend,1143,2166,3309,-5.4,-0.9,3,Cloudy,14.0
2021-01-25,2021,2021Q1,January,Monday,Weekday,543,1847,2390,-2.1,1.5,73,Snow,10.0
2021-01-26,2021,2021Q1,January,Tuesday,Weekday,492,1505,1997,-1.4,1.5,73,Snow,11.9
2021-01-27,2021,2021Q1,January,Wednesday,Weekday,968,2560,3528,-1.1,2.8,3,Cloudy,17.2
2021-01-28,2021,2021Q1,January,Thursday,Weekday,683,1984,2667,-6.2,-0.1,71,Light Snow,27.6
2021-01-29,2021,2021Q1,January,Friday,Weekday,824,2046,2870,-8.5,-1.9,3,Cloudy,27.2
2021-01-30,2021,2021Q1,January,Saturday,Weekend,1463,2535,3998,-6.0,-1.4,3,Cloudy,14.2
2021-01-31,2021,2021Q1,January,Sunday,Weekend,329,706,1035,-4.8,-0.5,75,Heavy Snow,17.9
2021-02-01,2021,2021Q1,February,Monday,Weekday,227,746,973,-4.9,-0.1,73,Snow,18.9
2021-02-02,2021,2021Q1,February,Tuesday,Weekday,382,1069,1451,-5.1,0.5,71,Light Snow,23.7
2021-02-03,2021,2021Q1,February,Wednesday,Weekday,684,1792,2476,-5.0,0.9,3,Cloudy,26.3
2021-02-04,2021,2021Q1,February,Thursday,Weekday,863,2311,3174,-4.5,0.3,3,Cloudy,20.8
2021-02-05,2021,2021Q1,February,Friday,Weekday,1400,2849,4249,0.9,5.3,55,Heavy Drizzle,18.6
2021-02-06,2021,2021Q1,February,Saturday,Weekend,2149,3263,5412,-1.3,3.0,3,Cloudy,22.3
2021-02-07,2021,2021Q1,February,Sunday,Weekend,757,1532,2289,-1.6,2.1,75,Heavy Snow,17.4
2021-02-08,2021,2021Q1,February,Monday,Weekday,844,2048,2892,-8.5,-3.9,1,Mostly Clear,11.4
