,NAME,STATION_ID,NUM_EBIKES_AVAILABLE,CAPACITY,LATITUDE,LONGITUDE
0,14th St & Rhode Island Ave NW,08247a21-1f3f-11e7-bf6b-3863bb334450,0,31,38.9086,-77.0323
1,Kansas Ave & Sherman Cr NW,c645ddde-0156-47ab-9616-3121f541a6f0,1,19,38.947962,-77.02155
2,Town Center Pkwy & Sunset Hills Rd,082653a6-1f3f-11e7-bf6b-3863bb334450,0,11,38.955171,-77.363094
3,14th & Newton St NW,e9030e46-31bf-4def-befb-2e685ad48180,1,19,38.931991,-77.032956
4,Fleet St & Waterfront St,d4e8307d-5fb2-4ece-a66a-1522b1ebf79c,1,15,38.782633,-77.016059
5,14th St & New York Ave NW,08249aa2-1f3f-11e7-bf6b-3863bb334450,11,31,38.899632,-77.031686
6,14th & Girard St NW,08261c65-1f3f-11e7-bf6b-3863bb334450,0,23,38.925284,-77.032375
7,Branch & Pennsylvania Ave SE,0824c29d-1f3f-11e7-bf6b-3863bb334450,3,15,38.8692,-76.9599
8,King Greenleaf Rec Center,99ddcd49-1312-4d80-8030-9bc2732deb5c,1,19,38.876211,-77.012443
9,Franklin St & S Washington St,0826242b-1f3f-11e7-bf6b-3863bb334450,2,19,38.798133,-77.0487
10,Loughboro Rd & Dalecarlia Pkwy NW / Sibley Hospital,e710493d-96af-49da-a8ed-8e3e7301c82c,4,19,38.935839,-77.106913
11,11th & S St NW,082603fc-1f3f-11e7-bf6b-3863bb334450,0,23,38.913601,-77.027115
12,Friendship Hts Metro / Wisconsin Ave & Wisconsin Cir,08258b3f-1f3f-11e7-bf6b-3863bb334450,3,19,38.961763,-77.085998
13,Saint Asaph St & Madison St,0826154d-1f3f-11e7-bf6b-3863bb334450,0,15,38.812718,-77.044097
14,3rd & M St SE,60e5f9b2-611b-4713-b34a-8ce2c2ee8ac8,3,23,38.876823,-77.002161
15,Takoma Metro,0825e31a-1f3f-11e7-bf6b-3863bb334450,5,19,38.975219,-77.016855
16,Capitol Heights Metro,3dc3100e-7a4c-4d34-8b92-e820f1bd46a0,1,19,38.888524,-76.913188
17,Wilson Blvd & N Troy St,d39e9b29-0ba7-453f-9f1e-b0a856d448b7,0,15,38.892556,-77.082089
18,South Dakota Ave & Bladensburg Rd NE,183f8ffb-756c-4271-8d9a-a5cde3f13116,1,15,38.9252,-76.964896
19,Mount Vernon Ave & Bruce St,0826256c-1f3f-11e7-bf6b-3863bb334450,0,15,38.841291,-77.063093
20,10th & K St NW,08251d5a-1f3f-11e7-bf6b-3863bb334450,6,23,38.9024,-77.02622
21,King St & Patrick St,08253ab7-1f3f-11e7-bf6b-3863bb334450,4,15,38.805317,-77.049883
22,15th St & Massachusetts Ave SE,08251a1b-1f3f-11e7-bf6b-3863bb334450,1,15,38.88732,-76.983569
23,Stadium Armory Metro,e9611824-0245-4482-bc8b-970c0eface40,0,19,38.885483,-76.977187
24,Pooks Hill Rd & Linden Ave,08264525-1f3f-11e7-bf6b-3863bb334450,1,15,39.014716,-77.107143
25,3rd & Elm St NW,08256b2e-1f3f-11e7-bf6b-3863bb334450,0,15,38.917622,-77.01597
26,King St Metro North / Cameron St,082615b7-1f3f-11e7-bf6b-3863bb334450,2,15,38.80704,-77.059817
